Abbreviation/Shorthand,Meaning
MCA,middle cerebral artery
MCB,monochlorobimane
MCC,Merkel cell carcinoma
MCFC,middle cheek fat compartment
mcg,microgram
MCH,mean corpuscular hemoglobin
MCHC,mean corpuscular hemoglobin concentration
MCII,minimum clinically important improvement
MCL,mucinous cystic lesion
MCL,medial collateral ligament
MCM,major congenital malformation
MCN,mucinous cystic neoplasm
mCNV,myopic choroidal neovascularization
MCOT,mobile cardiac outpatient telemetry
MCR,melanocortin receptor
mCRC,metastatic colorectal cancer
mCRPC,metastatic castration-resistant prostate cancer
MCT,medium‐chain triglyceride
MCTD,mixed connective tissue disease
MCTD,Mixed Connective Tissue Disease
MCV,mean corpuscular volume
MD,muscular dystrophy
MDD,major depressive disorder
MDD,minimally detectable difference
MDE,minimum detectable effect
MDF,Maddrey discriminant function
MDI,metered dose inhaler
MDMA,"3,4-methylenedioxy-methamphetamine"
MDP,technetium-99m methylene diphosphonate
MDR,multidrug-resistant
MDS,myelodysplastic syndrome
MECC,Minimal Extracorporeal Circulation
MECP2,methyl CpG binding protein 2
MED,morphine equivalent dosage
MEK,mitogen-activated protein kinase kinase
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes"
MELD,Model for End Stage Liver Disease
MELS,modular extracorporeal liver support system
MENS,MICROCURRENT ELECTRICAL NERVE STIMULATION
MEP,motor evoked potential
MEP,magnetic evoked potential
mEq,milliequivalent
mEq/L,milliequivalents per liter
MERRF,myoclonic epilepsy with ragged red fibers
MERS,Middle East Respiratory Syndrome
MERS-CoV,Middle East Respiratory Syndrome Coronavirus
MeSH,medical subject heading
MET,medical emergency team
MET,"MET proto-oncogene, receptor tyrosine kinase"
MET,Metabolic Equivalent
MET,motivational enhancement therapy
METS,Measurement of Exercise Tolerance before Surgery
MF,malar fat
MF,mandibular fossa
MF,myelofibrosis
MFC,medial femoral condyle
MFCL,Medicare Functional Classification Level
MFM,maternal-fetal medicine
MFO,multi field optimization
MFO-IMPT,multifield optimization intensity-modulated proton therapy
MFO-IMRT,multifield optimization intensity-modulated radiation therapy
MFS,Marfan syndrome
MFS,metastasis-free survival
Mg,magnesium
mg,milligram
MG,myasthenia gravis
mg/dL,milligrams per deciliter
MGD,Meibomian Gland Dysfunction
MGMT,O[6]-methylguanine-DNA methyltransferase
MgSO4,Magnesium Sulfate
MgSO₄,Magnesium sulfate
MGUS,monoclonal gammopathy of undetermined significance
MH,microhematuria
MHA,Minnesota Handwriting Assessment
MHC,major histocompatibility complex
MHD,mean heart dose
MHD,maintenance hemodialysis
MHOP,mental health outpatient services
MHP,moist hot pack
MHV,mouse hepatitis virus
MHV,Murine Hepatitis Virus
MHz,megahertz
MI,myocardial infarction
MI,molecular intelligence
MIC,minimum inhibitory concentration
MICU,medical intensive care unit
MID,minimal important difference
mIDH1,mutant isocitrate dehydrogenase 1
midi,midday
MILD,minimally invasive lumbar decompression
MIONM,multimodal intraoperative neurophysiological monitoring
MIP,maximal inspiratory pressure
MIP,molecular inversion probe
MIP,maximum intensity projection
MIrAVR,minimally invasive reoperative aortic valve replacement
MIRCT,massive irreparable rotator cuff tear
miRNA,microRNA
MIS-A,multisystem inflammatory syndrome in adults
MIS-C,multisystem inflammatory syndrome in children
MIST,minimally invasive surgical therapy
mITT,modified intent-to-treat
ML,Microlaryngoscopy
mLAP,mean left atrial pressure
MLD,manual lymphatic drainage
MLD MAX,"Morphology, Length, Diameter, Medial dissection, Apposition, eXpansion"
MLF,medial longitudinal fasciculus
MLTC,managed long term care
MM,multiple myeloma
MMA,multimodal analgesic
MMA,maxillomandibular advancement 
MMC,Mitomycin C
MME,Morphine Milligram Equivalents
MMF,mycophenolate mofetil
MMF,maxillomandibular fixation
mmHg,millimeter of mercury
MMLV,Moloney murine leukemia virus
MMLV-RT,Moloney murine leukemia virus reverse transcriptase
MMMP,multimodal mental practice
MMN,multi-focal motor neuropathy
mmol,millimole
mmol/L,millimole per liter
MMP,matrix metalloproteinas
MMSE,mini-mental state examination
MMT,manual muscle testing
MMTP,Methadone Maintenance Treatment Program
MN,midnight
MNA-SF,Mini Nutritional Assessment-Short Form
MO,migraine without aura
MO,morbid obesity
MOA,mechanism of action
MOCA,mechanochemical ablation
MODQ,Modified Oswestry Disability Questionnaire
MOG,myelin oligodendrocyte glycoprotein
MOGAD,Myelin Oligodendrocyte Glycoprotein Antibody Disease
MOH,medication overuse headache
MOI,multiplicity of infection
MOLST,medical orders for life-sustaining treatment
MOM,milk of magnesia
MOSF,multiple organ system failure
MP,methylprednisolone
MP,mental practice
MP,molecular profiling
MP,mastoid process
MP-NAAT,multiplex nucleic acid amplification test
MPA,medroxyprogesterone acetate
mPCR,multiplex polymerase chain reaction
MPD,myofascial pain-dysfunction
MPEC,memory precursor effector cell
MPFL,medial patellofemoral ligament
MPH,mid-parental height
MPH,methylphenidate
MPI,myocardial perfusion imaging
MPJ,Metatarsal Phalangeal Joint
MPK,microprocessor-controlled prosthetic knee
MPL,Medial Patella Luxation
MPLS,multiport laparoscopic surgery
MPN,myeloproliferative neoplasm
MPNST,malignant peripheral nerve sheath tumor
MPO,myeloperoxidase
MPQ,McGill Pain Questionnaire
MPR,multi-planar reformation
Mpro,main protease
MPS,myofascial pain syndrome
MR,magnetic resonance
MR,mental retardation
MR,mitral regurgitation
MR-proADM,mid-regional pro-adrenomedullin
MR-SWI,magnetic resonance-susceptibility weighted imaging
MRA,magnetic resonance angiography
MRA,mandibular repositioning appliance
MRADL,mobility-related activity of daily living
MRC,mitochondrial respiratory chain
MRCP,Magnetic Resonance Cholangiopancreatogram
MRCP,mental retardation with cerebral palsy
MRD,minimal residual disease
MRD,margin to reflex distance
MRE,magnetic resonance elastography 
MRF,multiple risk factors
MRgFUS,Magnetic Resonance Guided Focused Ultrasound
MRI,magnetic resonance imaging
MRM,Modified Radical Mastectomy
mRNA,messenger RNA
MRPL3,Mitochondrial Ribosomal Protein L3
MRSA,methicillin-resistant Staphylococcus aureus
MRV,magnetic resonance venogram
MS,mental status
MS,mitral stenosis
MS,morphine sulphate
MS,multiple sclerosis
MS,musculoskeletal
MSA,magnetic sphincter augmentation
MSA,multiple system atrophy
MSAFP,Maternal Serum Alpha-Fetoprotein
MSC,melanoma skin cancer
MSC,mesenchymal stem cell
MSCT,multi-slice computed tomography
msec,millisecond
MSG,minor salivary gland
MSI,microsatellite instability
MSIS,multi-system inflammatory syndrome
MSK-IMPACT,Memorial Sloan-Kettering integrated mutation profiling of actionable cancer targets
MSKCC,Memorial Sloan-Kettering Cancer Center
MSLT,Multiple Sleep Latency Test
MSRC,molecular signature response classifier
MSSA,methicillin-sensitive Staphylococcus aureus
MSU,monosodium urate
MT,mechanical thrombectomy
MTB,Maximum Therapeutic Benefit
mtDNA,mitochondrial DNA
MTF,male-to-female
MTHFR,methylenetetrahydrofolate reductase
mTOR,mammalian target of rapamycin
MTP,metatarsophalangeal
MTS,May-Thurner syndrome
MTX,methotrexate
MUA,manipulation under anesthesia
mUI,milli-international units
Multi-D,multi-disciplinary
MuSK,Muscle-Specific Kinase
MV,mechanical ventilation
MVA,multivariable analysis
MVA,motor vehicle accident
MVC,maximal voluntary contraction
MVD,multi-vessel disease
MVI,multiple vitamins injection
MVIC,maximum volitional isometric contraction
MVO,microvascular obstruction
MVP,mitral valve prolapse
MVR,Mitral Valve Replacement
MVS,mitral valve surgery
MVV,Mitral Valve Valvuloplasty
MWS,Mowat-Wilson syndrome
MX,metastasis cannot be measured
MX,Distant metastasis cannot be measured
MYH11,Myosin-11
MYLK,Myosin Light Chain Kinase
MZ,heterozygous Z allele
μg,microgram
B-ALL,B-cell acute lymphoblastic leukemia
B-OH,beta-hydroxybutyrate
BA,blood alcohol
BAC,blood alcohol concentration
BACM,benign acute childhood myositis
BAG,Bcl2-associated athanogene
BAHA,Bone Anchored Hearing Aid
BAK,benzalkonium chloride
BAL,bronchoalveolar lavage
BAL,blood alcohol level
BALP,bone-specific alkaline phosphatase
BASC,Behavior Assessment System for Children
BASDAI,Bath Ankylosing Spondylitis Disease Activity Index
BaV,basilic vein
BB-AVF,brachiobasilic arteriovenous fistula
BBB,blood-brain barrier
BBB,bundle branch block
BBR,bacterial breakdown rate
BC,blood culture
BCBA,board-certified behavior analyst
BCC,basal cell carcinoma
BCG,Bacillus Calmette-Guerin
BCL,bandage contact lens
BCP,birth control pills
BCR,B-cell receptor
BCRL,breast cancer-related lymphedema
BCS,breast-conserving surgery
BCSVA,best spectacle-corrected visual acuity
BCT,breast-conserving therapy
BCVA,best corrected visual acuity
BD,bile duct
BD,bronchodilator
BDET,balloon dilation of eustachian tube
bDMARD,biologic disease-modifying antirheumatic drug
BDZ,benzodiazepine
BE,Barrett's esophagus
BE,barium enema
BEA,below-elbow amputation
BET,Balloon Eustachian Tuboplasty
bEVAR,branched endovascular aneurysm repair
BFIE,benign familial infantile epilepsy
BG,blood glucose
BHB,beta-hydroxybutyrate
BHR,Birmingham Hip Resurfacing
BIBEMS,brought in by emergency medical services
bid,twice daily (bis in die)
BiPAP,bi-level positive airway pressure
BIS,bioimpedance spectroscopy
BIV,Biventricular
BJ,body jacket
BK,below knee
BKA,below knee amputation
BLAF,Behavior Language Assessment Form
BLC,blue-light cystoscopy
BLE,bilateral lower extremities
BLM,"Benadryl, Lidocaine, Maalox"
BLSI,blunt liver and spleen injury
BM,bone marrow
BM,bowel movement
BMA,bone marrow aspirate
BMAC,Bone Marrow Aspirate Concentrate
BMC,Bone Marrow Concentrate
BMD,bone mineral density
BMI,body mass index
BML,bone marrow edema-like lesion
BMP,bone morphogenetic protein
BMP,basic metabolic panel
BMR,basal metabolic rate
BMS,bare metal stent
BMS,bare metal stent
BMT,bone marrow transplantation
BNI,Barrow Neurological Institute
BNP,brain natriuretic peptide
BNSFTN,benign non-functioning solid thryoid nodule
BO,bowel obstruction
BO,Bilateral Oophorectomy
BOADICEA,Breast and Ovarian Analysis of Disease Incidence and Carrier Estimation Algorithm
BOC,biopsy of cervix
BoNT,botulinum neurotoxin
BOO,bladder outlet obstruction
BOOP,Bronchiolitis Obliterans Organizing Pneumonia
BOTOX,abobotulinumtoxinA
BP,blood pressure
BP,benzoyl peroxide
BPAD,bipolar affective disorder
BPD,borderline personality disorder
BPD,bronchopulmonary dysplasia
BPD/DS,biliopancreatic diversion with duodenal switch
BPE,benign prostatic enlargement
BPF,bronchopleural fistula
BPG,bypass graft
BPH,benign prostatic hypertrophy
BPH,benign prostatic hyperplasia
BPHII,BPH Impact Index
BPHTN,blood pressure hypertension
BPLT,BAK-preserved latanoprost-timolol
BPM,beats per minute
BPO,benign prostatic obstruction
BPP,biophysical profile
BPPV,benign paroxysmal positional vertigo
BR,bedside rounds
BR,bed rest
BRAF,v-Rapidly Accelerated Fibrosarcoma murine sarcoma viral oncogene homolog B
BRAT,"bananas, rice, apple sauce, and toast (or tea)"
BRB,bright red blood
BRBPR,bright red blood per rectum
BRCA,breast cancer gene
BRRB,bright red rectal bleeding
BrS,Brugada syndrome
BRUE,brief resolved unexplained event
BrV,brachial vein
BS,blood sugar
BS,bowel sounds
BS,breath sounds
BSA,body surface area
BSAP,bone specific alkaline phosphatase
BSC,best supportive care
BSC,behavioral specialist consultant
BSO,bilateral salpingo-oophorectomy
BSP,balloon sinuplasty
BSSO,Bilateral Sagittal Split Osteotomy
BSSRO,bilateral sagittal split ramus osteotomy
BT,blood transfusion
BT,bronchial thermoplasty
BTA,botulinum toxin A
BTA,Bladder Tumour Antigen
BTC,biliary tract cancer
BTFC,brinzolamide/timolol fixed combination
BTK,below the knee
BTM,Biodegradable Temporizing Matrix
BTM,bone turnover marker
BTN,benign thyroid nodule
BTP,breakthrough pain
BU,Bucher
BUN,blood urea nitrogen
BV,bacterial vaginosis
BVAB,bacterial vaginosis-associated bacteria
BVD,bilateral vestibular dysfunction
BVN,basivertebral nerve
BW,birth weight
Bx,biopsy
β-MA,β-mercaptoethylamine
β-ME,β-mercaptoethanol
U,units
UA,urinalysis
UAE,uterine artery embolization
UAS,Uniform Assessment System
UAS,upper airway stimulation
UAS,urticaria activity score
UAS7,7-day urticaria activity score
UB,upper body
UC,urothelial carcinoma
UC,ulcerative colitis
UCBL,University of California Berkeley Laboratories Shoe Insert
UCVA,uncorrected visual acuity
UCx,urine culture
UDCA,Ursodeoxycholic Acid
UDS,urine drug screen
UDS,urodynamic study
UDT,urine drug test
UDVA,uncorrected distance visual acuity
UE,unplanned extubation
UF,ultrafiltration
UFE,uterine fibroid embolization
UGFS,ultrasound guided foam sclerotherapy
UGI,upper gastrointestinal
UGIB,upper gastrointestinal bleeding
UHCT,unenhanced helical computed tomography
UIP,usual interstitial pneumonia
ul,microliter
UL,upper left
ULC,upper lateral cartilage
ULN,upper limits of normal
UM,uveal melanoma
UMEC,umeclidinium
UNE,ulnar neuropathy at the elbow
UNOS,United Network for Organ Sharing
UO,urinary output
UPCR,urine protein/creatinine ratio
UPD,uniparental disomy
upE,region upstream of the E gene
UPEP,Urine Protein Electrophoresis
UPF,uvulopalatal flap
UPJ,Ureteropelvic Junction
UPPP,uvulopalatopharyngoplasty
UR,upper right
URAT1,urate transporter 1
URI,upper respiratory infection
URR,urea reduction ratio
US,ultrasound
uSAID,undifferentiated Systemic Autoinflammatory Disease
USD,uncontrolled systemic disease
USH1,Usher Syndrome Type 1
USH2,Usher Syndrome Type 2
USH3,Usher Syndrome Type 3
USOH,usual state of health
USPSTF,US Preventive Services Task Force
UST,ustekinumab
UTI,urinary tract infection
UTM,universal transport medium
UTUC,upper tract urothelial carcinoma
UUT,upper urinary tract
UV,ultraviolet
UVA,univariate analysis
UVR,ultraviolet radiation
V/Q,ventilation/perfusion
V1,ophthalmic nerve
V1,prevertebral segment of vertebral artery
V10,volume receiving 10 gray
V2,maxillary nerve
V2,intervertebral segment of vertebral artery
V20,volume receiving 20 gray
V3,atlas loop segment of vertebral artery
V3,mandibular nerve
V30,volume receiving 30 gray
V4,intracranial segment of vertebral artery
V40,volume receiving 40 gray
V5,volume receiving 5 Gray
V50,volume receiving 50 gray
VA,ventricular arrhythmia
VA,visual acuity
VA,vertebral artery
VA,venoarterial
VA-ECMO,veno-arterial extracorporeal membrane oxygenation
VAC,vacuum-assisted closure
VACS,vertebral artery compression syndrome
VACTERL,"vertebrae, anus, cardiac, tracheoesophageal fistula, renal, limbs"
VAD,vertebral artery dissection
VADA,vertebral artery dissecting aneurysm
VAERS,Vaccine Adverse Event Reporting System
VAH,vertebral artery hypoplasia
VAP,ventilator-associated pneumonia
VAS,Visual Analogue Scale
VATER,"vertebrae, anus, tracheoesophageal fistula, renal"
VATS,Video Assisted Thoracoscopy
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program
VBA,vertebrobasilar artery
VBAC,vaginal birth after a previous cesarean delivery
VBAO,vertebrobasilar artery occlusion
VBG,venous blood gas
VC,vital capacity
VCD,vascular closure device
VCSS,Venous Clinical Severity Score
VD,vascular dementia
VD,venereal disease
VD,vascular decompression
VD-PACE,"Velcade, Dexamethasone, Cisplatin, Doxorubicin, Cyclophosphamide, Etoposide"
VDRF,ventilator-dependent respiratory failure
VDRL,Venereal Disease Research Laboratory (serological test for syphilis)
VDZ,vedolizumab
VED,Vascular Ehlerse-Danlos Syndrome
VEEG,video EEG
VEEV,Venezuelan equine encephalitis virus
VEGF,vascular endothelial growth factor
VEINES-QOL/Sym,Venous Insufficiency Epidemiological and Economic Study-Quality of Life/Symptoms
VEO-IBD,Very Early Onset Inflammatory Bowel Disease
VEP,vertebral body endplate
VEP,variant effect predictor
VF,visual field
VF,ventricular fibrillation
VGPR,very good partial response
VHD,valvular heart disease
VHL,von Hippel-Lindau syndrome
VHR,very high risk
VIDISCA,Virus-Discovery-cDNA-AFLP
vIGA,Validated Investigator Global Assessment
VKA,vitamin K antagonist
VLCAD,very long-chain acyl-coenzyme A dehydrogenase
VLDL,very-low-density lipoprotein
VM,Venturi mask
VM,ventriculomegaly 
VMAT,volume modulated arc therapy
VMAT2,vesicular monoamine transporter
VMI,visual motor integration
VMS,vasomotor symptoms
VNA,Visiting Nurse Association
VNS,visiting nurse service
VNS,Vitiligo Noticability Scale
VNS,vagus nerve stimulator
VOC,vasoocclusive crisis
VOG,Giacomini vein
VOGM,Vein of Galen malformation
VP,Ventriculo-Peritoneal
VPB,ventricular premature beat
VPC,ventricular premature complexes
VPV2R,vasopressin V2 receptor
VQ,ventilation/quantity of perfusion
VRAS,Virginia Radiosurgery AVM Scale
VRE,vancomycin-resistant enterococci
VREP,very rare exocrine neoplasm of the pancreas
VS,viscosupplementation
VS,Vertiflex Superion
VS,vascular surgery
VS,vital signs
VSD,ventricular septal defect
VSS,Venous Sinus Stenting
VSS,vital signs stable
VT,vest therapy
VT,ventricular tachycardia
VTE,venous thromboembolism
VTM,viral transport medium
VUS,variant of undetermined significance
VV,venovenous
VVC,vulvovaginal candidiasis
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed"
VWF,von Willebrand factor
VWF:Ag,von Willebrand antigen
VWF:CB,von Willebrand collagen binding
VWF:RCo,von Willebrand factor ristocetin cofactor
VZIG,varicella zoster immune globulin
VZV,Varicella-Zoster Virus
w/u,workup
WAFR,Wafer
WB,weight bearing
WBAT,weight bearing as tolerated
WBC,white blood cells
WBC,white blood count
WBE,wastewater-based epidemiology
WBRT,whole-breast radiation therapy
WBRT,whole-brain radiation therapy
WBRT-HA,whole-brain radiation therapy - hippocampal avoidance
WBT,weight bearing tolerance
WC,wheelchair
WCD,wearable cardioverter defibrillator
WCE,wireless capsule endoscopy
WCNSF,wounded child no surviving family
WD,wound dehiscence
WDS,Word Discrimination Score
WES,Whole Exome Sequencing
WFL,within functional limits
WGS,whole genome sequencing
WHCRA,Women’s Health and Cancer Rights Act
WHO,World Health Organization
WIRB,Western Institutional Review Board
WM,withdrawal management
WM,white matter
WMA,wall motion abnormality
WMFT,Wolf Motor Function Test
WMH,white matter hyperintensity
WNE,West Nile encephalitis
WNF,West Nile fever
WNL,within normal limits
WNM,West Nile meningitis
WNND,West Nile neuroinvasive disease
WNV,West Nile virus
WNV,Wechsler Scale of Nonverbal Ability
WPATH,World Professional Association for Transgender Health
WPPSI-IV,"Wechsler Preschool and Primary Scale of Intelligence, Fourth Edition"
WPW,Wolff-Parkinson-White
WRAVMA,Wide Range Assessment of Visual Motor Abilities
WS,Williams Syndrome
Wt,weight
WVTT,Water Vapor Thermal Therapy
WWTP,wastewater treatment plant
XDR,extensively drug-resistant
XDR-TB,extensively drug-resistant tuberculosis
XL,extended release
XLA,X-linked agammaglobulinemia
XLIF,extreme lateral interbody fusion
XLT,extended length tracheostomy tubes
XR,extended release
XRT,photon radiotherapy
Y90,Yttrium-90
YBOCS,Yale Brown Obsessive Compulsive Scale
yfgn,[this is a proprietary suffix that does not mean anything]
yo,year-old/years old
ZM,zygomaticus minor muscle
Zn,zinc
ZnT8,zinc transporter 8
ZZ,homozygous Z allele
JAK,janus kinase
JAK-STAT,"janus kinase, signal transducer and activator of transcription protein"
JAKi,JAK inhibitor
JAMA,Journal of the American Medical Association
JBJS,The Journal of Bone & Joint Surgery
JCV,John Cunningham virus
JF,jowl fat
JIA,juvenile idiopathic arthritis
JNA,Juvenile nasopharyngeal angiofibroma
JP,Jackson Pratt
JRA,juvenile rheumatoid arthritis
JRAAA,Juxtarenal Abdominal Aortic Aneurysm
JTAJ,Jet-injector (Needleless)
JTKT,Jet-injector Kit (Needleless)
K,keratometry
K,potassium
K,thousand
K0,No ability or potential to ambulate or transfer safely with or without assistance; A prosthesis does not enhance quality of life or mobility
K1,Able or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence
K2,Ability or potential to ambulate; Ability to traverse low level environmental barriers
K3,Ability or potential to ambulate with variable cadence
K4,"Ability or potential for prosthetic ambulation that exceeds basic ambulation skills, exhibiting high impact, stress, or energy levels"
KAFO,knee-ankle-foot orthosis
KAX,"ketamine, acepromazine, and xylazine"
KCH,King’s College Hospital
KCl,potassium chloride
KDIGO,Kidney Disease Improving Global Outcomes
KDQOL,Kidney Disease Quality of Life
kg,kilogram
KLRG1,killer cell lectin-like receptor G1
KM,Kaplan-Meier
Kmax,maximum simulated keratometry value
KOA,knee osteoarthritis
KPS,Karnofsky Performance Scale
KRAS,Kirsten rat sarcoma viral oncogene homolog
KUB,"kidney, ureter, bladder (x-ray)"
KVO,Keep Vein Open
L,left
L&D,labor and delivery
L1,first lumbar spine vertebra
L2,second lumbar spine vertebra
L2K,Life2000
L3,third lumbar spine vertebra
L4,fourth lumbar spine vertebra
L5,fifth lumbar spine vertebra
LA,extended release
LA,left atrium
LA,leukoaraiosis
LA,lactic acid
LA classification,Los Angeles Classification of Gastroesophageal Reflux Disease
LAA ,left atrial appendage
LAAC,left atrial appendage closure
LAAEV,left atrium appendage emptying velocity
LAAO,left atrial appendage occlusion
LAAT,left atrial appendage thrombus
LABA,long-acting b2-agonist
LABD,linear IgA bullous dermatosis 
LAD,left anterior descending artery
LAD,linear IgA dermatosis
LAD,lymphadenopathy
LAD-D1,left anterior descending artery - first diagonal branch
LAD-D2,left anterior descending artery - second diagonal branch
LAD-D3,left anterior descending artery - third diagonal branch
LAE,left atrial enlargement
LAER,late auditory evoked response
LAFB,left anterior fascicular block
LAHB,left anterior hemiblock
LAMA,long-acting muscarinic antagonist
LAP,latency associated peptide
LAR,left anterior colon resection
LAR,long-acting release
LAR,low anterior resection
LASIK,laser-assisted in situ keratomileusis
LAT,large neutral amino acid transporter
LAVH,Laparoscopic Assisted Vaginal Hysterectomy
LAVH BSO,Laparoscopic-assisted vaginal hysterectomy with BSO Bilateral Salpingo-Oophorectomy
LAVI,left atrium volume index
LB,lower body
LBBB,left bundle branch block
LBM,lean body mass
LBN,latanoprostene bunod
LBO,large bowel obstruction
LBP,lower back pain
LC,Langerhans cell
LC,local control
LCD,Local Coverage Determination
LCFA,left common femoral artery
LCIS,lobular carcinoma in situ
LCIV,left common iliac vein
LCMV,lymphocyte choriomeningitis virus
LCSW,licensed clinical social worker
LCX,left circumflex (coronary artery)
LD,lactate dehydrogenase
LD,lumbar drain
LDCT,low-dose computed tomography
LDH,lactate dehydrogenase
LDH,lumbar disc herniation
LDL,low density lipoprotein
LDL-C,low-density lipoprotein cholesterol
LDLR,low-density lipoprotein receptor
LDLT,living donor liver transplantation
LDS,Loeyse-Dietz syndrome
LE,leukocyte esterase
LE,lower extremity
LE,lupus erythematosus
LEAV,Leaves
LECVD,Lower Extremity Chronic Venous Disease
LEF,leflunomide
LELE,Leading Edge to Leading Edge
LEMG,laryngeal electromyography
LEMS,lower extremity motor score
LES,lower esophageal sphincter
LESI,lumbar epidural steroid injection
LF,local failure
LFA-1,lymphocyte function-associated antigen-1
LFC,lateral femoral condyle
LFT,liver function test
LG,loop gain
LGG,lower grade glioma
LGL,large granular lymphocyte
LH,Laparoscopic Hysterectomy
LH,luteinizing hormone
LHC,left heart catheterization
LHM,laparoscopic Heller myotomy 
LHRH,luteinizing hormone-releasing hormone
LHX3,"LIN-11, Isl-1 and MEC-3 Homeobox 3"
LHX4,"LIN-11, Isl-1 and MEC-3 Homeobox 4"
Li-RADS,Liver Imaging Reporting and Data System
LIFT,ligation of intersphicteric fistula tract
LIMA,left internal mammary artery
LIQD,Liquid
LITT,Laser Interstitial Thermal Therapy
LKP,lamellar keratoplasty
LKW,last known well
LL,lower left
LLC,lower lateral cartilage
LLC,large latent complex
LLE,left lower extremity
LLJ,latero-lateral joint
LLL,left lower lobe
LLL,low level laser
LLQ,left lower quadrant
LLSM,levator labii superioris muscle
LM,laparoscopic myomectomy
LM,left main coronary artery
LMCA,left main coronary artery stenosis
LMD,Langer mesomelic dysplasia
LMP,last menstrual period
LMT,left main trunk
LMWH,Low Molecular Weight Heparin
LN,lymph node
LND,lymph node dissection
LNF,laparoscopic Nissen fundoplication
LNP,lipid nanoparticle
LOA,lysis of adhesions
LOC,level of care
LOC,level of consciousness
LOC,loss of consciousness
LOCADTR,Level of Care for Alcohol and Drug Treatment Referral
LOCUS,Level of Care Utilization System
LOF,loss-of-function
logMAR,logarithm of the minimum angle of resolution
LOH,loss of heterozygosity
LOLA,L-ornithine L-aspartate
LOMN,letter of medical necessity
LOS,length of stay
LOTN,Lotion
LOZG,Lozenge
LP,lichen planus
LP,lumbar puncture
LP,lamina propria
LP,light perception
LP-PRP,leukocyte-poor platelet-rich plasma
LPD,lymphoproliferative disorder
LPDA,left posterior descending artery
LPFB,left posterior fascicular block
LPI,labile plasma iron
LPM,lateral pterygoid muscle
LPN,licensed practical nurse
LPOP,Lozenge on a Handle
LPP,lateral pterygoid plate
LPP,lichen planopilaris
LPR,Laryngopharyngeal Reflux
LQCR,Liquid Extended- Release
LQPK,Liquid Therapy Pack
LQTS,long QT syndrome
LR,lower right
LR,lactated Ringer's
LR,likelihood ratio
LR-PRP,leukocyte-rich platelet-rich plasma
LRFFS,loco-regional failure-free survival
LRR,loco-regional recurrence
LRRC,locally recurrent rectal cancer
LS,lumbar spine
LSD,lysergic acid diethylamide
LSG,Laparoscopic Sleeve Gastrectomy
LSO,left salpingo-oophorectomy
LSPAF,long-standing persistent atrial fibrillation
LSS,lumbar spinal stenosis
LSV,Long Saphenous Vein
LT,liver transplantation
LT,heat-labile
LTAC,long term acute care
LTACH,long term acute care hospital
LTBI,latent tuberculosis infection
LTBP,latent TGF-β binding protein
LTC,local tumor control
LTCF,lateral temporal cheek fat
LTE,linear energy transfer
LTR,lower trunk rotation
LTx,lung transplant
LUE,left upper extremity
LUL,left upper lobe
Lung-RADS,Lung Imaging Reporting and Data System
LUQ,left upper quadrant
LUT,lower urinary tract
LUTS,lower urinary tract symptoms
LV,left ventricle
LV,lentivirus
LV,limb volume
LVAD,left ventricular assist device
LVEDP,left ventricular end-diastolic pressure
LVEF,left ventricle ejection fraction
LVH,left ventricular hypertrophy
LVN,licensed vocational nurse
LVO,Large Vessel Occlusion
LVO,Left Ventricular Opacification
LVOTO,left ventricular outflow tract obstruction
LWD,Leri-Weill dyschondrosteosis
LWPES,Lawson Wilkins Pediatric Endocrine Society
